OpportunityId,Name,Subject,Country,SalesUnitId,ADUCategory,Product_Family,Application,Owner,Prognosis,PrognosisDate,ProbabilityId,ProcessName,ADUOpportunityType,SegmentId,ADUEndCustomer,ADULifeOfProject,ADUEstimatedPriceEndCustomer,ADUPiecePotential,annualTotal,ADUCommentsPMLocalValidation,AduLevelOfComplexity,ADUStrategicCustomer,AduPriorityMarket,Date_Created,OPENEDDATE,Opportunity_Number,PROGNOSISDAYS,DATAAREAID,ESTIMATEDREVENUE
OP-005918,ERMEC SL,ES - ERMEC - IKUSI Joystick Custom,Spain,EXPORT1,1-Joystick,1-Joystick,belly box joystick,Sales Person 4,12 months,2/14/19,10,CPICC,CPI,Indirect Sales,IKUSI,10,30.0,7000,210000.0,Ok go go go ! :),Unknown,No,Non Strategic,2/19/18 0:00,2/19/18,OP-005918,360,fr02,210000
OP-005920,ASKLE SANTE  SAS,CLAVIER AUTOPLUS,France,SUD_EST,1-KEYBOARD,1-KEYBOARD,matelas medical,Sales Person 10,<  1 month,3/6/18,70,CPI,CPI,Medical,Other,5,15.0,8400,126000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/19/18 0:00,2/19/18,OP-005920,15,fr02,63000
OP-005921,ERMEC SL,SP - ERMEC - NAD - FP - accessoires montage,Spain,EXPORT1,4-FP24,1-SWITCH,selle chauffante moto,Sales Person 3,6 months,8/18/18,10,CPI,CPI,Vehicles,KTM - YAMAHA,1,2.0,4000,8000.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,2/19/18 0:00,2/19/18,OP-005921,180,fr02,8000
OP-005922,OMEGA FUSIBILI S.P.A.,IT - OMEGA - ELEMASTER - SLB1570R,Italy,EXPORT3,2-Slide switch,1-SWITCH,electronique,Sales Person 3,12 months,2/14/19,10,CPICC,CPI,Other Electr. Appli,GILBARCO,1,0.75,4000,3000.0,"Elemaster through OMEGA ask for a quote for SLB1570R ?
EAU is  4Kpcs",Unknown,No,Non Strategic,2/19/18 0:00,2/19/18,OP-005922,360,fr02,3000
OP-007359,U-SHIN BRASIL,T CROSS VW - Suite OP-006658 - Tarif EXW Montauban,Brazil,FRANCE,1-AUTOMOTIVE,1-AUTOMOTIVE,other,Sales Person 18,12 months,2/2/20,10,CPI,CPI,Automotive,Other,6,1.0,600000,600000.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,2/7/19 0:00,2/7/19,OP-007359,360,fr02,600000
OP-005923,DDT,Clavier T3-1703708X-01,Belgium,BE-SOUTH-WEST,2-Flexible Membrane Keyboard,1-KEYBOARD,telecom,Sales Person 20,3 months,5/20/18,10,CPI,CPI,Other Mil.Aero,Unknown,5,30.0,2500,75000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/19/18 0:00,2/19/18,OP-005923,90,fr02,75000
OP-007364,DDZD,retrofit,France,SUD_OUEST,4- All Engineering Keyboard,1-KEYBOARD,dge,Sales Person 30,12 months,2/3/20,40,CPI,CPI,DgE,Other,5,1.0,5,5.0,No additional comments.,Level 3 - Heavy product modification,No,Focus,2/8/19 0:00,2/8/19,OP-007364,360,fr02,2000
OP-005924,APEM INC,DRS: IZ Colerette rabaissée,United States,SUBSIDIARY,1-SWITCH,1-SWITCH,other,Sales Person 14,9 months,11/16/18,20,CPI,CPI,DgE,DRS Technologies,2,8.0,20000,160000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/19/18 0:00,2/19/18,OP-005924,270,fr02,100000
OP-005925,OMNI RAY AG,PBA with cable 50 cm,Switzerland,DE-CH,2-Custom Switch,1-SWITCH,other,Sales Person 32,<  1 month,3/6/18,30,CPI,CPI,Indirect Sales,omni ray,1,10.0,200,2000.0,No additional comments.,Level 1 - No product modification,No,Standard,2/19/18 0:00,2/19/18,OP-005925,15,fr02,6
OP-005926,EURODISPLAY,QN-14038,Belgium,BE-SOUTH-WEST,4-AV09 ASSY AV,1-SWITCH,displays,Sales Person 20,1 month,3/21/18,10,Quotation,Quote,Other Electr. Appli,Other,0,13.35,1000,0.0,No additional comments.,Unknown,No,Non Strategic,2/19/18 0:00,2/19/18,OP-005926,30,fr02,13350
